Ano	Estado	Mes	Numero	Periodo
"1999	Acre	Outubro	60	01/01/1999"
"2000	Acre	Outubro	18	01/01/2000"
"2001	Acre	Outubro	137	01/01/2001"
"2002	Acre	Outubro	687	01/01/2002"
"2003	Acre	Outubro	740	01/01/2003"
"2004	Acre	Outubro	461	01/01/2004"
"2005	Acre	Outubro	547	01/01/2005"
"2006	Acre	Outubro	316	01/01/2006"
"2007	Acre	Outubro	203	01/01/2007"
"2008	Acre	Outubro	652	01/01/2008"
"2009	Acre	Outubro	565	01/01/2009"
"2010	Acre	Outubro	292	01/01/2010"
"2011	Acre	Outubro	97	01/01/2011"
"2012	Acre	Outubro	348	01/01/2012"
"2013	Acre	Outubro	258	01/01/2013"
"2014	Acre	Outubro	406	01/01/2014"
"2015	Acre	Outubro	905	01/01/2015"
"2016	Acre	Outubro	509	01/01/2016"
"2017	Acre	Outubro	1508	01/01/2017"
"1998	Acre	Novembro	0	01/01/1998"
"1999	Acre	Novembro	0	01/01/1999"
"2000	Acre	Novembro	0	01/01/2000"
"2001	Acre	Novembro	1	01/01/2001"
"2002	Acre	Novembro	86	01/01/2002"
"2003	Acre	Novembro	15	01/01/2003"
"2004	Acre	Novembro	10	01/01/2004"
"2005	Acre	Novembro	14	01/01/2005"
"2006	Acre	Novembro	18	01/01/2006"
"2007	Acre	Novembro	7	01/01/2007"
"2008	Acre	Novembro	4	01/01/2008"
"2009	Acre	Novembro	33	01/01/2009"
"2010	Acre	Novembro	39	01/01/2010"
"2011	Acre	Novembro	74	01/01/2011"
"2012	Acre	Novembro	13	01/01/2012"
"2013	Acre	Novembro	79	01/01/2013"
"2014	Acre	Novembro	56	01/01/2014"
"2015	Acre	Novembro	115	01/01/2015"
"2016	Acre	Novembro	46	01/01/2016"
"2017	Acre	Novembro	98	01/01/2017"
"1998	Acre	Dezembro	7	01/01/1998"
"1999	Acre	Dezembro	0	01/01/1999"
"2000	Acre	Dezembro	0	01/01/2000"
"2001	Acre	Dezembro	0	01/01/2001"
"2002	Acre	Dezembro	1	01/01/2002"
"2003	Acre	Dezembro	1	01/01/2003"
"2004	Acre	Dezembro	7	01/01/2004"
"2005	Acre	Dezembro	2	01/01/2005"
"2006	Acre	Dezembro	0	01/01/2006"
"2007	Acre	Dezembro	0	01/01/2007"
"2008	Acre	Dezembro	0	01/01/2008"
"2009	Acre	Dezembro	1	01/01/2009"
"2010	Acre	Dezembro	0	01/01/2010"
"2011	Acre	Dezembro	4	01/01/2011"
"2012	Acre	Dezembro	1	01/01/2012"
"2013	Acre	Dezembro	3	01/01/2013"
"2014	Acre	Dezembro	6	01/01/2014"
"2015	Acre	Dezembro	8	01/01/2015"
"2016	Acre	Dezembro	6	01/01/2016"
"1998	Alagoas	Janeiro	0	01/01/1998"
"1999	Alagoas	Janeiro	58	01/01/1999"
"2000	Alagoas	Janeiro	11	01/01/2000"
"2001	Alagoas	Janeiro	5	01/01/2001"
"2002	Alagoas	Janeiro	12	01/01/2002"
"2003	Alagoas	Janeiro	150	01/01/2003"
"2004	Alagoas	Janeiro	9	01/01/2004"
"2005	Alagoas	Janeiro	83	01/01/2005"
"2006	Alagoas	Janeiro	29	01/01/2006"
"2007	Alagoas	Janeiro	33	01/01/2007"
"2008	Alagoas	Janeiro	55	01/01/2008"
"2009	Alagoas	Janeiro	104	01/01/2009"
"2010	Alagoas	Janeiro	23	01/01/2010"
"2011	Alagoas	Janeiro	41	01/01/2011"
"2012	Alagoas	Janeiro	36	01/01/2012"
"2013	Alagoas	Janeiro	49	01/01/2013"
"2014	Alagoas	Janeiro	54	01/01/2014"
"2015	Alagoas	Janeiro	81	01/01/2015"
"2016	Alagoas	Janeiro	24	01/01/2016"
"2017	Alagoas	Janeiro	38	01/01/2017"
"2017	Alagoas	Janeiro	38	01/01/2017"
"1998	Alagoas	Fevereiro	0	01/01/1998"
"1999	Alagoas	Fevereiro	20	01/01/1999"
"2000	Alagoas	Fevereiro	16	01/01/2000"
"2001	Alagoas	Fevereiro	4	01/01/2001"
"2002	Alagoas	Fevereiro	15	01/01/2002"
"2003	Alagoas	Fevereiro	33	01/01/2003"
"2004	Alagoas	Fevereiro	7	01/01/2004"
"2005	Alagoas	Fevereiro	31	01/01/2005"
"2006	Alagoas	Fevereiro	14	01/01/2006"
"2007	Alagoas	Fevereiro	28	01/01/2007"
"2008	Alagoas	Fevereiro	74	01/01/2008"
"2009	Alagoas	Fevereiro	32	01/01/2009"
"2010	Alagoas	Fevereiro	26	01/01/2010"
"2011	Alagoas	Fevereiro	33	01/01/2011"
"2012	Alagoas	Fevereiro	41	01/01/2012"
"2013	Alagoas	Fevereiro	19	01/01/2013"
"2014	Alagoas	Fevereiro	29	01/01/2014"
"2015	Alagoas	Fevereiro	46	01/01/2015"
"2016	Alagoas	Fevereiro	14	01/01/2016"
"2017	Alagoas	Fevereiro	21	01/01/2017"
"1998	Alagoas	Março	0	01/01/1998"
"1999	Alagoas	Março	52	01/01/1999"
"2000	Alagoas	Março	32	01/01/2000"
"2001	Alagoas	Março	0	01/01/2001"
"2002	Alagoas	Março	27	01/01/2002"
"2003	Alagoas	Março	15	01/01/2003"
"2004	Alagoas	Março	16	01/01/2004"
"2005	Alagoas	Março	35	01/01/2005"
"2006	Alagoas	Março	37	01/01/2006"
"2007	Alagoas	Março	7	01/01/2007"
"2008	Alagoas	Março	31	01/01/2008"
"2009	Alagoas	Março	31	01/01/2009"
"2010	Alagoas	Março	70	01/01/2010"
"2011	Alagoas	Março	34	01/01/2011"
"2012	Alagoas	Março	44	01/01/2012"
"2013	Alagoas	Março	31	01/01/2013"
"2014	Alagoas	Março	28	01/01/2014"
"2015	Alagoas	Março	32	01/01/2015"
"2016	Alagoas	Março	9	01/01/2016"
"2017	Alagoas	Março	23	01/01/2017"
"1998	Alagoas	Abril	0	01/01/1998"
"1999	Alagoas	Abril	4	01/01/1999"
"2000	Alagoas	Abril	20	01/01/2000"
"2001	Alagoas	Abril	0	01/01/2001"
"2002	Alagoas	Abril	6	01/01/2002"
"2003	Alagoas	Abril	20	01/01/2003"
"2004	Alagoas	Abril	6	01/01/2004"
"2005	Alagoas	Abril	1	01/01/2005"
"2006	Alagoas	Abril	2	01/01/2006"
"2007	Alagoas	Abril	1	01/01/2007"
"2008	Alagoas	Abril	18	01/01/2008"
"2009	Alagoas	Abril	5	01/01/2009"
"2010	Alagoas	Abril	3	01/01/2010"
"2011	Alagoas	Abril	17	01/01/2011"
"2012	Alagoas	Abril	18	01/01/2012"
"2013	Alagoas	Abril	25	01/01/2013"
"2014	Alagoas	Abril	16	01/01/2014"
"2015	Alagoas	Abril	63	01/01/2015"
"2016	Alagoas	Abril	13	01/01/2016"
"2017	Alagoas	Abril	7	01/01/2017"
"1998	Alagoas	Maio	0	01/01/1998"
"1999	Alagoas	Maio	1	01/01/1999"
"2000	Alagoas	Maio	1	01/01/2000"
"2001	Alagoas	Maio	2	01/01/2001"
"2002	Alagoas	Maio	1	01/01/2002"
"2003	Alagoas	Maio	1	01/01/2003"
"2004	Alagoas	Maio	3	01/01/2004"
"2005	Alagoas	Maio	0	01/01/2005"
"2006	Alagoas	Maio	0	01/01/2006"
"2007	Alagoas	Maio	0	01/01/2007"
"2008	Alagoas	Maio	0	01/01/2008"
"2009	Alagoas	Maio	0	01/01/2009"
"2010	Alagoas	Maio	0	01/01/2010"
"2011	Alagoas	Maio	0	01/01/2011"
"2012	Alagoas	Maio	21	01/01/2012"
"2013	Alagoas	Maio	2	01/01/2013"
"2014	Alagoas	Maio	1	01/01/2014"
"2015	Alagoas	Maio	18	01/01/2015"
"2016	Alagoas	Maio	4	01/01/2016"
"2017	Alagoas	Maio	1	01/01/2017"
"1998	Alagoas	Junho	0	01/01/1998"
"1999	Alagoas	Junho	0	01/01/1999"
"2000	Alagoas	Junho	0	01/01/2000"
"2001	Alagoas	Junho	2	01/01/2001"
"2002	Alagoas	Junho	0	01/01/2002"
"2003	Alagoas	Junho	0	01/01/2003"
"2004	Alagoas	Junho	0	01/01/2004"
"2005	Alagoas	Junho	0	01/01/2005"
"2006	Alagoas	Junho	0	01/01/2006"
"2007	Alagoas	Junho	0	01/01/2007"
"2008	Alagoas	Junho	0	01/01/2008"
"2009	Alagoas	Junho	0	01/01/2009"
"2010	Alagoas	Junho	0	01/01/2010"
"2011	Alagoas	Junho	2	01/01/2011"
"2012	Alagoas	Junho	4	01/01/2012"
"2013	Alagoas	Junho	1	01/01/2013"
"2014	Alagoas	Junho	2	01/01/2014"
"2015	Alagoas	Junho	2	01/01/2015"
"2016	Alagoas	Junho	5	01/01/2016"
"2017	Alagoas	Junho	2	01/01/2017"
"1998	Alagoas	Julho	0	01/01/1998"
"1999	Alagoas	Julho	0	01/01/1999"
"2000	Alagoas	Julho	0	01/01/2000"
"2001	Alagoas	Julho	0	01/01/2001"
"2002	Alagoas	Julho	5	01/01/2002"
"2003	Alagoas	Julho	0	01/01/2003"
"2004	Alagoas	Julho	0	01/01/2004"
"2005	Alagoas	Julho	0	01/01/2005"
"2006	Alagoas	Julho	0	01/01/2006"
"2007	Alagoas	Julho	0	01/01/2007"
"2008	Alagoas	Julho	0	01/01/2008"
"2009	Alagoas	Julho	0	01/01/2009"
"2010	Alagoas	Julho	2	01/01/2010"
"2011	Alagoas	Julho	0	01/01/2011"
"2012	Alagoas	Julho	0	01/01/2012"
"2013	Alagoas	Julho	0	01/01/2013"
"2014	Alagoas	Julho	1	01/01/2014"
"2015	Alagoas	Julho	0	01/01/2015"
"2016	Alagoas	Julho	3	01/01/2016"
"2017	Alagoas	Julho	0	01/01/2017"
"1998	Alagoas	Agosto	1	01/01/1998"
"1999	Alagoas	Agosto	3	01/01/1999"
"2000	Alagoas	Agosto	4	01/01/2000"
"2001	Alagoas	Agosto	1	01/01/2001"
"2002	Alagoas	Agosto	3	01/01/2002"
"2003	Alagoas	Agosto	2	01/01/2003"
"2004	Alagoas	Agosto	2	01/01/2004"
"2005	Alagoas	Agosto	2	01/01/2005"
"2006	Alagoas	Agosto	1	01/01/2006"
"2007	Alagoas	Agosto	3	01/01/2007"
"2008	Alagoas	Agosto	1	01/01/2008"
"2009	Alagoas	Agosto	0	01/01/2009"
"2010	Alagoas	Agosto	1	01/01/2010"
"2011	Alagoas	Agosto	4	01/01/2011"
"2012	Alagoas	Agosto	0	01/01/2012"
"2013	Alagoas	Agosto	0	01/01/2013"
"2014	Alagoas	Agosto	3	01/01/2014"
"2015	Alagoas	Agosto	3	01/01/2015"
"2016	Alagoas	Agosto	5	01/01/2016"
"2017	Alagoas	Agosto	1	01/01/2017"
"1998	Alagoas	Setembro	14	01/01/1998"
"1999	Alagoas	Setembro	3	01/01/1999"
"2000	Alagoas	Setembro	22	01/01/2000"
"2001	Alagoas	Setembro	5	01/01/2001"
"2002	Alagoas	Setembro	14	01/01/2002"
"2003	Alagoas	Setembro	8	01/01/2003"
"2004	Alagoas	Setembro	5	01/01/2004"
"2005	Alagoas	Setembro	7	01/01/2005"
"2006	Alagoas	Setembro	4	01/01/2006"
"2007	Alagoas	Setembro	2	01/01/2007"
"2008	Alagoas	Setembro	9	01/01/2008"
"2009	Alagoas	Setembro	13	01/01/2009"
"2010	Alagoas	Setembro	5	01/01/2010"
"2011	Alagoas	Setembro	5	01/01/2011"
"2012	Alagoas	Setembro	6	01/01/2012"
"2013	Alagoas	Setembro	4	01/01/2013"
"2014	Alagoas	Setembro	11	01/01/2014"
"2015	Alagoas	Setembro	7	01/01/2015"
"2016	Alagoas	Setembro	18	01/01/2016"
"2017	Alagoas	Setembro	4	01/01/2017"
"1998	Alagoas	Outubro	20	01/01/1998"
"1999	Alagoas	Outubro	4	01/01/1999"
"2000	Alagoas	Outubro	13	01/01/2000"
"2001	Alagoas	Outubro	15	01/01/2001"
"2002	Alagoas	Outubro	30	01/01/2002"
"2003	Alagoas	Outubro	10	01/01/2003"
"2004	Alagoas	Outubro	12	01/01/2004"
"2005	Alagoas	Outubro	17	01/01/2005"
"2006	Alagoas	Outubro	32	01/01/2006"
"2007	Alagoas	Outubro	6	01/01/2007"
"2008	Alagoas	Outubro	18	01/01/2008"
"2009	Alagoas	Outubro	30	01/01/2009"
"2010	Alagoas	Outubro	16	01/01/2010"
"2011	Alagoas	Outubro	23	01/01/2011"
"2012	Alagoas	Outubro	28	01/01/2012"
"2013	Alagoas	Outubro	25	01/01/2013"
"2014	Alagoas	Outubro	7	01/01/2014"
"2015	Alagoas	Outubro	40	01/01/2015"
"2016	Alagoas	Outubro	74	01/01/2016"
"2017	Alagoas	Outubro	14	01/01/2017"
"1998	Alagoas	Novembro	19	01/01/1998"
"1999	Alagoas	Novembro	15	01/01/1999"
"2000	Alagoas	Novembro	2	01/01/2000"
"2001	Alagoas	Novembro	22	01/01/2001"
"2002	Alagoas	Novembro	50	01/01/2002"
"2003	Alagoas	Novembro	17	01/01/2003"
"2004	Alagoas	Novembro	28	01/01/2004"
"2005	Alagoas	Novembro	25	01/01/2005"
"2006	Alagoas	Novembro	12	01/01/2006"
"2007	Alagoas	Novembro	15	01/01/2007"
"2008	Alagoas	Novembro	37	01/01/2008"
"2009	Alagoas	Novembro	55	01/01/2009"
"2010	Alagoas	Novembro	31	01/01/2010"
"2011	Alagoas	Novembro	23	01/01/2011"
"2012	Alagoas	Novembro	95	01/01/2012"
"2013	Alagoas	Novembro	10	01/01/2013"
"2014	Alagoas	Novembro	14	01/01/2014"
"2015	Alagoas	Novembro	162	01/01/2015"
"2016	Alagoas	Novembro	76	01/01/2016"
"2017	Alagoas	Novembro	10	01/01/2017"
"1998	Alagoas	Dezembro	32	01/01/1998"
"1999	Alagoas	Dezembro	12	01/01/1999"
"2000	Alagoas	Dezembro	2	01/01/2000"
"2001	Alagoas	Dezembro	30	01/01/2001"
"2002	Alagoas	Dezembro	95	01/01/2002"
"2003	Alagoas	Dezembro	43	01/01/2003"
"2004	Alagoas	Dezembro	71	01/01/2004"
"2005	Alagoas	Dezembro	16	01/01/2005"
"2006	Alagoas	Dezembro	30	01/01/2006"
"2007	Alagoas	Dezembro	33	01/01/2007"
"2008	Alagoas	Dezembro	34	01/01/2008"
"2009	Alagoas	Dezembro	55	01/01/2009"
"2010	Alagoas	Dezembro	45	01/01/2010"
"2011	Alagoas	Dezembro	50	01/01/2011"
"2012	Alagoas	Dezembro	59	01/01/2012"
"2013	Alagoas	Dezembro	42	01/01/2013"
"2014	Alagoas	Dezembro	24	01/01/2014"
"2015	Alagoas	Dezembro	136	01/01/2015"
